,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
516,Bryan+Raveen+Nelson,@brynelson,Bryan Nelson,"Producer/Reporter for Arizona Illustrated at Arizona Public Media, the NPR/PBS member station in Tucson, AZ.","Tucson, AZ",695,155,5.805362067371247
517,Bryan+W.+Jones,@bdjones_jones,Bryan Jones,"Government Professor, University of Texas at Austin",,981,467,3.741853467361576
518,Bryan+Briney,@bryanbriney,Bryan Briney,"Asst. Professor at The Scripps Research Institute, studying antibody responses to immunization and infection. Big fan of open science and dogs.","San Diego, CA",315,322,1.012916365723779
519,Bryan+Cleal,@cleal_bryan,Bryan Cleal,Senior Researcher@Steno Diabetes Center Copenhagen. The usual disclaimers apply.,"Hillerød, Danmark",204,343,1.49666799188142
520,Bryan+Gibson,@bryangibson82,Bryan Gibson,"Learnlife Alliance Community Moderator, Researcher, Designer, Thinker",Ireland & Spain,148,580,1.0583593351222431
521,Bryan+Greenhouse,@bgreenhouse1,Bryan Greenhouse,Interested in bringing the immunology and transmission epidemiology of malaria into focus with laboratory and analytical tools.,UC San Francisco,1114,112,2.715845184260319
522,Bryan+Kestenbaum,@BryanKestenbaum,Bryan Kestenbaum,Kidneys and medical research,,31,8,0.10128317430897534
523,Bryan+Lau,@BL4PublicHealth,Bryan Lau,"Epidemiologist, researcher, committed to public health; Dad of three; Married to an epidemiologist; Tweets my own; Retweets does not imply endorsement","Baltimore, MD",807,554,3.906627297639183
524,Bryan+Leaw,@_BrainBryan,Bryan Leaw,Aus/NZ Patent Attorney @GriffithHack | PhD (Neuroscience) | Winston Churchill Fellow @ChurchillTrust | I share cool science and IP stuff. Opinions are my own.,Melbourne,118,553,0.544869945237263
525,Bryan+Maloney,@bt_maloney,Bryan Maloney,"Aviation Professional, Corgi Dad, Small Business Owner, Wanna-be Chef on Weekends, Craft Beer Connoisseur Always and Love Livin in North Texas!","Dallas, TX",277,1301,1.3861711158872085
526,Bryan+Rodgers,@EI_BRodgers,Bryan Rodgers #limerickandproud,"Irish space industry, education and research activities promoted by Enterprise Ireland; Member of Irish delegation to the European Space Agency","Limerick, Irlande",1879,2611,8.372981437932577
527,Bryan+Saunders,@Bicycle_Bryan,Bryan Saunders,"Love cycling, football enthusiastic and researcher at the University of São Paulo. Interest in exercise physiology and supplementation to improve performance","São Paulo, Brazil",854,441,4.114304577132715
528,Bryan+Smith,@BryanSmithMD,Bryan A. Smith,Advanced Heart Failure/ Transplant Cardiologist @UChicagoMed,"Chicago, IL",629,744,2.4572222726763866
529,Bryan+Williams,@bryanwilliams,Bryan Williams,"Focusing on Stronger product & marketing through research, science & design. Dignity in every work place. Strategy, digital, code, LEGO. I love connecting.","Connecticut, USA",346,479,0.652834943243693
530,Bryant+J.+Jongkees,@BryantJongkees,Bryant Jongkees,"Postdoc at Princeton University, USA & Leiden University, The Netherlands. 

Science is the poetry of reality",,67,79,0.3748154935667047
531,Bryce+B.+Reeve,@ReeveBryce,Bryce Reeve,"Director, Center for Health Measurement; Professor, Population Health Sciences; Professor, Pediatrics",,62,34,0.235409550723056
532,Bryce+B+Reeve,@ReeveBryce,Bryce Reeve,"Director, Center for Health Measurement; Professor, Population Health Sciences; Professor, Pediatrics",,62,34,0.2845141835697544
533,Bryn+A.+Martin,@neurohydro,Bryn Martin,The Neurohydrodynamics and Medical Technology Lab (NMTL) investigates the pathophysiology of craniospinal and cerebrovascular disorders.,"Lausanne, Switzerland",2,0,0.012596362239969001
534,Bryn+Williams-Jones,@BrynWJones,Bryn Williams-Jones,"Full Professor & Director, Bioethics Program, Department of Social and Preventive Medicine, School of Public Health, University of Montreal",Montreal,817,83,5.842429572938328
535,Bryna+C.+R.+Chrismas,@BrynaChrismas,Bryna Chrismas,Associate Professor @QUCED | @basesuk & @essa_news accredited | Exercise physiologist | Views my own | 🇬🇧 to 🇶🇦,"Doha, Qatar",1169,332,6.7812071385075186
536,Brynne+Gilmore,@brynne_gilmore,Brynne Gilmore,"Health systems researcher, focusing on community systems and community engagement for maternal and child health #MSCActions Fellow","Dublin, Ireland",400,653,1.5549473256789168
537,Bryon+Adinoff,@editor_AJDAA,Bryon Adinoff,"Editor, American Journal of Drug and Alcohol Abuse; Addiction Psychiatrist; Neuroscientist; Distinguished Prof, Univ TX Southwestern (retd)","Denver, CO",129,55,0.5326411299307531
538,Bryony+C.+Bonning,@BBonning,Bryony C. Bonning,I am a Professor and Endowed Chair of Entomology & Nematology at University of Florida working on development of new approaches for insect pest management.,"Gainesville, FL, USA",173,159,1.0895853337573187
539,Bryony+Sheaves,@bryonysheaves,Bryony Sheaves,"Research clinical psychologist, University of Oxford.",,473,324,1.5108547999427966
540,Budhachandra+Khundrakpam,@b_khundrakpam,Budhachandra Khundrakpam,"Neuroscientist @McGill
https://t.co/Or3n90ej4o","Montréal, Québec",358,951,2.650289744890274
541,Budheswar+Dehury,@BudheswarDehury,Budheswar Dehury,"Postdoc @DTU
 | Computational Biologist| Modeling Intra-membrane Aspartyl Proteases in lipid bilayer systems..","Lyngby-Taarbæk, Danmark",74,201,0.4429359917786913
542,Bui+Quang+Minh,@bq_minh,Bui Quang Minh,Computational phylogenomics: Enabling evolutionary research in the genomic era,"Canberra, Australia",516,113,0.7058631918980003
543,Bukola+Usidame,@bukolau,Bukola Usidame,Public Health Policy Research Fellow,"Ann Arbor, MI",7,62,0.040265501414643676
544,Bulat+Idrisov,@idrisovbu,"Bulat Idrisov MD, MSc",PhD in Health Behavior Research at @USC Former @Fulbrightprgrm & NIDAfellow,"Ufa, Russia",65,138,0.5292172466241355
545,Bunmi+S.+Malau-Aduli,@bmalauaduli,Bunmi Malau-Aduli,"Associate Professor Bunmi Malau-Aduli is the Associate Dean, Learning and Teaching at the College of Medicine and Dentistry, James Cook University, Australia",,0,0,0.0
546,Bunmi+S+Malau-Aduli,@bmalauaduli,Bunmi Malau-Aduli,"Associate Professor Bunmi Malau-Aduli is the Associate Dean, Learning and Teaching at the College of Medicine and Dentistry, James Cook University, Australia",,0,0,0.0
547,Burak+Ucpinar,@MBurakUcpinar,M. Burak Ucpinar,"Urologist, Haseki Training and Research Hospital,
Future Mount Sinai Hospital Urology Clinical Fellow",,77,201,0.7642612800919157
548,Burcin+Ekser,@BurcinEkser,Burcin Ekser,"Transplant Surgeon, Scientist, MD, PhD, Indiana University","Indianapolis, IN",151,268,0.9848452190876688
549,Burcu+F.+Darst,@BurcuDarst,Burcu Darst,Postdoc @KeckMedUSC Center for Genetic Epidemiology,,245,399,1.0285861625069324
550,Burcu+Ayoglu,@burcu_ayoglu,Burcu,"Researcher @SciLifeLab exploring the immune system. Istanbul native, @KTHuniversity and @Stanford alumna.","Stockholm, Sweden",380,812,1.7890385664631143
551,Burkhard+Morgenstern,@burkhard_mstern,Burkhard Morgenstern,"Professor of bioinformatics, University of Göttingen","Göttingen, Allemagne",410,414,0.9156264749823416
552,Bushra+Iqbal,@BushraAamir,Syeda Bushra Iqbal,Islamic Research Scholars|Tv Host |Media Person|Lawyer|Writer @HarPalGeoTv @arydigitalasia @HumTv |PTV|Ex-Faculty IU🇵🇰 |Old Account|New Account @SBushraIqbal,"Karachi, Pakistan ",327,3,2.218080736855991
553,Bushra+Jamil,@BushraJamil2,Bushra Jamil,"Mother of 4, Public sector professional, Work for LGA, follow politics not just because of my job! Love international food and cooking. All views are my own.",Working at home,46,173,0.22957888197915752
554,Bushra+Nasir,@drbnasir,Bushra Nasir,#AhmadiMuslim | #Epidemiologist | #Research Fellow @UQMedicine | #Student @usqedu | Editor @MuslimsDwnUnder,"Queensland, Australia",185,415,1.4881524631382312
555,Bushra+Rahman,@Bushra0808,Bushra Rahman,International development professional // Tweets are own views,"Abuja, Nigeria",133,585,1.2180820489472117
556,Bushra+Sultana,@bushrasmalik,Bushra Sultana Malik,"Freelancer (Sales and Marketing) Consultation
Lecturer Visiting (University of Sargodha) 
#Management #Marketing #MBA",Pakistan,837,1534,3.307149065103597
557,Byoung-Tak+Zhang,@TakByoung,Byoung-Tak Zhang,"Professor of Artificial Intelligence and  Cognitive Science, Seoul National University",,3,0,0.012594932602125703
558,Byron+C+Wallace,@byron_c_wallace,byron wallace,Asst. Prof @Northeastern in Computer Science. NLP / ML / + Health &etc. he/him.,,1000,646,3.0144990109228798
559,Byron+J.+Powell,@Byron_Powell,Byron J. Powell,Assistant Professor @BrownSchool & @WUSTLmed | Co-Director @cmhsr_wustl | President @ImplementCollab | Mental Health Services Research & Implementation Research,"St. Louis, Missouri",3519,4992,8.495424021907118
560,Byron+M.+Berenger,@byron_berenger,Byron Berenger,I like bugs (the micro/infectious kind)! Medical Microbiologist and Outdoor Fun Seeker.,"Alberta, Canada",98,226,0.5270679709356848
561,Byron+Lai,@Byron31926746,Byron Lai,PhD in Rehabilitation Science at the Children's  Hospital of Alabama under the UAB / Lakeshore Foundation Research Collaborative,"Birmingham, AL",28,82,0.16759740229463996
562,Byron+Powell,@Byron_Powell,Byron J. Powell,Assistant Professor @BrownSchool & @WUSTLmed | Co-Director @cmhsr_wustl | President @ImplementCollab | Mental Health Services Research & Implementation Research,"St. Louis, Missouri",3519,4992,33.46670657926778
563,Byron+Tibbitts,@b_tib,Byron Tibbitts,Public health research scientist @UoBrisSPS I coach @UoBTouch and am proudly an @englandtouch national player and RDO (views my own),Bath,243,200,2.778182518518662
564,Byron+Wallace,@byron_c_wallace,byron wallace,Asst. Prof @Northeastern in Computer Science. NLP / ML / + Health &etc. he/him.,,1000,646,6.880297973573676
565,Byung+Chul+Kim,@chulkimMD,Chul Kim,Oncologist taking care of people with lung cancer and thymic malignancy at Georgetown University. Father/husband/immigrant. Optimistic about future of oncology.,"Washington, DC",836,373,4.076896383723284
566,Byung+Lee,@beeclass,Byung Lee,"Elon University, Associate Professor, Communications",,20,35,0.07228353975093837
567,C+Anthony+Hart,@Anthony16061946,Anthony Hart,Sheffield paediatric neurologist with a passion for improving the care of newborn infant with neurological problems. Labrador owner. Opinions are mine,"Sheffield, England",299,122,1.2101172684842436
568,C+Fielder+Camm,@cfcamm,Fielder Camm,Executive Editor - #EHJCaseReports | Clinical Research Fellow | Cardiology Registrar | Clinical Guides Series Editor | @TheBJCA Secretary | Tweets are my own,Oxford,846,901,9.351525591338385
569,C+Nadine+Wathen,@NadineWathen,Nadine Wathen,"Professor & CRC in Mobilizing Knowledge on Gender-Based Violence; Board Chair, London InterCommunity Health Centre. Passionate about research to effect change.","London, Ontario",1114,1255,3.7066896277521337
570,C+Bode,@ECBodeee,Enkylo C Bode,"Professional fun haver
Semi professional racecar driver","Portland, OR",1,2,0.023094688221709007
571,C+Burgess,@UAAgLifeVetExt,Shane C Burgess,"Vice President, Agriculture, Life and Veterinary Sciences, and Cooperative Extension @uarizona. First-generation college grad, veterinarian, scientist, dad 🐻⬇️","Tucson, AZ",784,507,2.672496196117314
572,C+Campisi,@campisi_susan,Susan C Campisi,"Passionate about #health, #food #mentalhealth and #nutritiontherapy - mom, wife, friend, researcher, photographer and traveler. Tweets are my own.","Ontario, Canada",64,70,1.4780600461893765
573,C+Cheng,@terenceccheng,Terence C Cheng,"Health economist with interests in health financing, medical labour markets, and well-being.",Australia,399,400,1.4378739397028906
574,C+Christiansen,@CChristiansen1,C Christiansen,Digital Producer Google Creative Lab,"New York, NY",240,174,0.873392516470118
575,C+Cooper,@mdfietser,C Cooper,Professor & Program Coordinator - COMM @ TUNE. Research the Communication of Hate. TU Scotland Study Abroad. Opinions are my own.,"East Coast, USA",44,101,0.14510857082858647
576,C+Davies,@John_C_Davies,John C Davies,eCommerce and Sales professional living where tech and construction collide,,10796,12799,46.05248149295234
577,C+Engel,@KathleenCEngel,Engel,"I am a professor at Suffolk Law School with expertise in #financialservices regulation, #housing markets, #discrimination, and #consumerprotection.",Boston,693,100,4.839556509834633
578,C+Fonseca,@mariaCfonseca2,Maria C Fonseca,MD. MIS-Bariatric Surgery Research Fellow and incoming General Surgery Resident at CCF#ClevelandClinicFlorida #SurgeryisArt #ilooklikeasurgeon,"Weston, FL",57,53,1.3163972286374135
579,C+Fournier,@CFourniet,Suzanne C Fournier,"Interior decorator, professional organizer & floral designer",Greater Sudbury / Grand Sudbur,13,105,0.09623957174182558
580,C+Goh,@JeffreyCGoh1,Jeff C Goh,Medical Oncologist with a Gynaecological & GU Malignancy Clinical + Research Interest,"Brisbane, QLD, Australia",65,49,0.19519166465882276
581,C+Green,@AlexandraCGree1,Alexandra C Green,"Postdoc 👩🏻‍💻| Cattle welfare, behaviour and biostats 🐮| University of Sydney | Animals and travel 🌏| PhD in cow bioacoustics 🎤| she/her","Sydney, Australia",339,660,1.4188338287811086
582,C+Grimm,@grimmcyber,GRIMM,"#cybersecurity research, development, testing, advanced penetration testing, and consulting services

YT: https://t.co/DUWJ8TXd6g",,7483,477,26.300113657587772
583,CHAO+LIU,@cjliu10,Chao J. Liu,#FirstGen PhD in BME. Optical imaging scientist working on #neurophotonics @MGHMartinos.,"Boston, MA",90,328,0.5054167415789729
584,CHAO+WANG,@jackchaowang,Chao Wang,"Senior Staff Scientist @scrippsresearch.
Research Interests: Genetic variation, proteostasis and the code of information flow in biology.
Views are my own.","La Jolla, SD, CA",108,303,0.5130679517051069
585,CHAO+ZHANG,@chaozhangcs,Chao Zhang,"Assistant Professor @ Georgia Tech CSE
Text Mining, NLP, Machine Learning",Atlanta,104,104,0.6624075507464432
586,CHEN+LI,@chenlica,Chen Li,Professor of Computer Science at UC Irvine  Founder of SRCH2 Software Inc.,"Irvine, CA",86,7,0.4906478336796659
587,C+Hahn,@lisachahn,Lisa C Hahn,"Stained Glass Artist, Public Relations Professional, Volunteer, Voter.",Northern NJ,194,436,2.1444396746095116
588,C+Harris,@drnyc_awe,Nyeema C Harris,"Carnivore Ecologist studying the apex, meso, and small around the globe, academic activist, Philadelphian. #blackandSTEM she/her/hers",,1599,355,6.6923754932772646
589,C+Hsu,@hsu_jason,Jason C Hsu,CEO/CIO @ Rayliant Global Advisors; Founding Partner and Vice Chairman @ Research Affiliates; Adjunct Professor in Finance @ UCLA Anderson,,1521,338,5.4550627342411655
590,C+Liu,@drjohncliu,John C Liu,Founder at Intelluron | Deep Tech Researcher and Author | #DataScience | @Penn PhD | #CFA l #MTSEF #ISEF,"Nashville, Taipei",497,253,1.1096782331038353
591,C+McKenzie,@acmckenz,Andrea C McKenzie,"Associate Professor, York University",Toronto,171,48,3.9491916859122402
592,C+Morgan,@michaelcmorgan,Michael C Morgan,"atmospheric science professor, opinions expressed on this platform are my own","Madison, WI",113,289,0.44939248197882176
593,C+Mueller,@_JustInTheory_,Justin C Mueller,Political scientist + educator. Turning ideas into tools and weapons in service of a better tomorrow.,"Boston, MA",63,176,0.45817153213930023
594,C+Nguyen,@add_hawk,C Thi Nguyen,"Philosophy professor. I write about games, trust, art, intimacy, and echo chambers. My new book is GAMES: AGENCY AS ART: https://t.co/0DIF3NXeVK","Salt Lake City, UT",9794,1979,53.404635812614295
595,C+Rodriguez,@juliocossioRI,Julio C Rodriguez,"Professor of International Relations at Federal University of Santa Maria. Senior Fellow at the Research Group of State Capacity, Security and Defense (GECAP).","Santa Maria, Brasil",527,1141,2.3846392362566298
596,C+Scott,@iamjustincscott,Justin C Scott,I’ll teach you how to unlock personal + professional abundance & elevate your existence. Join my FREE Absolute Abundance Broadcast: https://t.co/BHrCgtGNLN,FREE telegram channel ➡️,17161,650,78.58991267117977
597,C+Shaw,@claytonshaw,C Shaw,"Art, digital, performance, visual, community, cultural management, professional development, and party seeker",,712,1010,2.9398487171371794
598,C+Stephan,@dotsandspaces,Stephan,Assistant Teaching Professor @kennerglobalcmu @CMU_DietrichHSS #CMALT,"Pittsburgh, PA",1393,1167,4.215545110484133
599,C+Tan,@winterspIash,Chesca with a C Tan,"here for GOT7, VIXX, Stray Kids and DAY6 💞for CQL, MDZS, BL, Shadowhunters go to @SnowMoon96 💞 🇸🇬x🇵🇭",Youngjae's Arms (TRUE STORY),4831,588,20.409703843983042
